Title,Price,Location,Kilometers,Link
1990 Nissan Fairlady,"$15,000","Auckland City, Auckland","164,988 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5024406853?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2011 Nissan Fairlady,"$15,000","Botany Downs, Auckland","170,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5060561674?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$15,980","Auckland, Auckland","115,757 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4945122975?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2006 Nissan Fairlady,"$15,995","Auckland, Auckland","123,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5021870015?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2006 Nissan Fairlady,"$15,995","Timaru, Timaru - Oamaru","92,115 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5027594084?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$15,995","Auckland, Auckland","152,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5046138225?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
1995 Nissan Fairlady,"$16,000","Hamilton, Waikato","182,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4953928557?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$16,000","Christchurch City, Canterbury","195,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5053490123?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$16,500","Wellington, Wellington","111,510 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4831036432?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$16,500","Motueka, Nelson Bays","95,500 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4919602423?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$16,500","Dunedin, Otago","180,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4941843447?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2005 Nissan Fairlady,"$16,750","Manawatu, Manawatu","94,500 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4966307995?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2003 Nissan Fairlady,"$16,980","Auckland, Auckland","67,720 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4937205170?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
