Title,Price,Location,Kilometers,Link
2002 Mazda MX-5,"$12,900","North Shore, Auckland","136,900 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060368082?rsqid=e50a30df9a034b2cae2301acea776beb-001
2000 Mazda MX-5,"$13,000","Auckland City, Auckland","210,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060360300?rsqid=e50a30df9a034b2cae2301acea776beb-001
2006 Mazda MX-5,"$13,000","Auckland City, Auckland","133,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5090312512?rsqid=e50a30df9a034b2cae2301acea776beb-001
2006 Mazda MX-5,"$13,500","Blenheim, Marlborough","103,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5066983193?rsqid=e50a30df9a034b2cae2301acea776beb-001
2006 Mazda MX-5,"$13,500","Christchurch City, Canterbury","98,141 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5070896267?rsqid=e50a30df9a034b2cae2301acea776beb-001
1990 Mazda MX-5,"$13,925","Christchurch, Canterbury","168,371 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5076998171?rsqid=e50a30df9a034b2cae2301acea776beb-001
1991 Mazda MX-5,"$14,990","Nelson, Nelson Bays","102,960 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5051808272?rsqid=e50a30df9a034b2cae2301acea776beb-001
1990 Mazda MX-5,"$15,500","Palmerston North, Manawatu","194,559 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5068010478?rsqid=e50a30df9a034b2cae2301acea776beb-001
2007 Mazda MX-5,"$15,800","Marton, Manawatu","104,600 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5058871029?rsqid=e50a30df9a034b2cae2301acea776beb-001
2006 Mazda MX-5,"$16,000","Dunedin, Otago","93,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5093130687?rsqid=e50a30df9a034b2cae2301acea776beb-001
2006 Mazda MX-5,"$16,600","Hibiscus Coast, Auckland","63,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060081517?rsqid=e50a30df9a034b2cae2301acea776beb-001
2012 Mazda MX-5,"$19,500","Auckland City, Auckland","89,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5061745255?rsqid=e50a30df9a034b2cae2301acea776beb-001
2010 Mazda MX-5,"$19,500","Kerikeri, Northland","100,871 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5075288283?rsqid=7b5785c423b844c9859105a4895919ba-001
1990 Mazda MX-5,"$19,990","Kapiti, Wellington","128,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5068650193?rsqid=7b5785c423b844c9859105a4895919ba-001
2015 Mazda MX-5,"$20,990",Bay of Plenty,"111,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4901714925?rsqid=7b5785c423b844c9859105a4895919ba-001
2015 Mazda MX-5,"$21,466","Hamilton, Waikato","113,464 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4739989024?rsqid=7b5785c423b844c9859105a4895919ba-001
2015 Mazda MX-5,"$23,995",Taranaki,"104,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5066678685?rsqid=7b5785c423b844c9859105a4895919ba-001
2012 Mazda MX-5,"$24,950","Christchurch, Canterbury","36,826 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5007536378?rsqid=7b5785c423b844c9859105a4895919ba-001
2015 Mazda MX-5,"$24,990","Wellington City, Wellington","91,081 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064647220?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$25,000","Auckland City, Auckland","47,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5093095365?rsqid=7b5785c423b844c9859105a4895919ba-001
2019 Mazda MX-5,"$25,950","Christchurch, Canterbury","99,059 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4854748431?rsqid=7b5785c423b844c9859105a4895919ba-001
2016 Mazda MX-5,"$26,000","Hibiscus Coast, Auckland","57,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5080058769?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$27,950","North Shore, Auckland","93,221 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5049826121?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$27,989","Christchurch, Canterbury","86,579 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5062082800?rsqid=7b5785c423b844c9859105a4895919ba-001
2018 Mazda MX-5,"$28,000","Auckland City, Auckland","46,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4967459867?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$28,989","Christchurch, Canterbury","107,664 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5063817959?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$29,900","Manukau, Auckland","42,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5054785521?rsqid=7b5785c423b844c9859105a4895919ba-001
2018 Mazda MX-5,"$29,950","North Shore, Auckland","76,567 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5033162418?rsqid=7b5785c423b844c9859105a4895919ba-001
2018 Mazda MX-5,"$29,995","Lower Hutt, Wellington","92,800 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5033692258?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$30,990","Manawatu, Manawatu","42,800 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5017711887?rsqid=7b5785c423b844c9859105a4895919ba-001
2016 Mazda MX-5,"$31,000","Warkworth, Auckland","21,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5051716764?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$31,500","Waitakere, Auckland","26,644 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060635405?rsqid=7b5785c423b844c9859105a4895919ba-001
2017 Mazda MX-5,"$31,980",Auckland,"71,500 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5013319829?rsqid=7b5785c423b844c9859105a4895919ba-001
2015 Mazda MX-5,"$31,999","Christchurch, Canterbury","7,245 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4911755443?rsqid=7b5785c423b844c9859105a4895919ba-001
